All First Basemen 2025  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Dexture McCall 1B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Johan Barrios 1B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Preston Beck 1B | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Grant Lavigne 1B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Joe Naranjo 1B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kevin Ereu 1B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cesar Gonzalez 1B | ATH ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Damek Tomscha 1B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Garrett Cooper 1B | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Eric Jagielo 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tyler White 1B | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Corey Collins 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tyler Alamo 1B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,J.D. Mundy 1B | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Imanol Vargas 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chad Christensen 1B | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Matt Oberste 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Rainer Nunez 1B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Edwin Espinal 1B | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Danny Hayes 1B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Luis Tejada 1B | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Gerald Bautista 1B | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jared Jones 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jayce Boyd 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Mike Boeve 1B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Keon Barnum 1B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,TT Bowens 1B | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Evan Edwards 1B | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Troy Sieber 1B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Robert Perez 1B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Deyvison De Los Santos 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Viosergy Rosa 1B | ATH ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Luis Torres 1B | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kyle Roller 1B | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jeff Malm 1B | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Rixon Taylor-Wingrove 1B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
